User_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
001ae40d,182,1,345.93,2,1,4,7,Potential Loyalists
00209791,193,1,10.32,2,1,1,4,At Risk
0021e458,308,1,123.51,1,1,2,4,At Risk
00333c7a,199,1,8.65,2,1,1,4,At Risk
00390cf5,135,1,96.32,3,1,1,5,At Risk
0041710c,180,1,388.45,2,1,4,7,Potential Loyalists
0049cde2,274,1,147.36,1,1,2,4,At Risk
005258a0,189,1,303.14,2,1,3,6,Potential Loyalists
007d82ed,230,1,393.59,2,1,4,7,Potential Loyalists
00812bf1,303,1,192.83,1,1,2,4,At Risk
008384ad,162,1,95.58,3,1,1,5,At Risk
008ac58b,43,1,281.63,4,1,3,8,Loyal Customers
00b7ec0b,166,1,87.38,2,1,1,4,At Risk
00d5f96c,246,1,239.02,1,1,3,5,At Risk
00d8ac27,4,1,47.54,4,1,1,6,Potential Loyalists
00db7b85,218,1,450.9,2,1,4,7,Potential Loyalists
00e52bfe,276,1,323.17,1,1,4,6,Potential Loyalists
00e75d81,258,1,235.23,1,1,3,5,At Risk
0102cb1f,33,1,189.62,4,1,2,7,Potential Loyalists
0110e242,228,1,109.24,2,1,2,5,At Risk
01153d2e,83,1,167.28,3,1,2,6,Potential Loyalists
0125f947,269,1,162.21,1,1,2,4,At Risk
012757e3,134,1,247.21,3,1,3,7,Potential Loyalists
012f36dd,146,1,21.97,3,1,1,5,At Risk
01365196,109,1,190.88,3,1,2,6,Potential Loyalists
0142a38f,191,1,238.68,2,1,3,6,Potential Loyalists
014b0b14,239,1,418.09,2,1,4,7,Potential Loyalists
016c1e77,143,1,208.77,3,1,3,7,Potential Loyalists
017b4433,325,1,13.3,1,1,1,3,Lost Customers
0195ea56,275,1,132.52,1,1,2,4,At Risk
01966801,71,1,193.81,4,1,2,7,Potential Loyalists
01c083f3,49,1,168.01,4,1,2,7,Potential Loyalists
01d6ef4f,220,1,324.24,2,1,4,7,Potential Loyalists
021adfb6,276,1,303.33,1,1,3,5,At Risk
021b5be9,163,1,361.04,3,1,4,8,Loyal Customers
023a0824,215,1,294.52,2,1,3,6,Potential Loyalists
02428050,250,1,286.33,1,1,3,5,At Risk
02548f78,163,1,239.36,3,1,3,7,Potential Loyalists
027fe2aa,114,1,221.4,3,1,3,7,Potential Loyalists
028173ef,96,1,124.93,3,1,2,6,Potential Loyalists
028809d1,132,1,194.9,3,1,2,6,Potential Loyalists
02ac79ab,35,1,192.17,4,1,2,7,Potential Loyalists
02d317f1,215,1,123.4,2,1,2,5,At Risk
02dde509,176,1,22.95,2,1,1,4,At Risk
02e15abd,262,1,371.38,1,1,4,6,Potential Loyalists
02ea58e6,291,1,381.03,1,1,4,6,Potential Loyalists
02f68644,123,1,77.88,3,1,1,5,At Risk
02fb8772,157,1,29.3,3,1,1,5,At Risk
0304a5d8,104,1,196.91,3,1,2,6,Potential Loyalists
0353de5b,18,1,265.75,4,1,3,8,Loyal Customers
03560326,283,1,368.96,1,1,4,6,Potential Loyalists
03563bc9,138,1,110.64,3,1,2,6,Potential Loyalists
03632dc7,148,1,299.53,3,1,3,7,Potential Loyalists
038db720,222,1,162.81,2,1,2,5,At Risk
03905f28,296,1,246.77,1,1,3,5,At Risk
03a8069a,106,1,148.37,3,1,2,6,Potential Loyalists
03aa0d65,27,1,108.87,4,1,2,7,Potential Loyalists
03b2bf85,225,1,71.69,2,1,1,4,At Risk
03b923e5,104,1,165.86,3,1,2,6,Potential Loyalists
03bbb018,184,1,187.4,2,1,2,5,At Risk
03dcfbb3,297,1,235.25,1,1,3,5,At Risk
03e10273,205,1,414.27,2,1,4,7,Potential Loyalists
03eadaf0,39,1,225.98,4,1,3,8,Loyal Customers
03ec5d73,82,1,94.93,3,1,1,5,At Risk
03f1774a,158,1,260.85,3,1,3,7,Potential Loyalists
03fa1b88,90,1,45.12,3,1,1,5,At Risk
03fd5c2d,306,1,425.83,1,1,4,6,Potential Loyalists
040f37d3,271,1,55.51,1,1,1,3,Lost Customers
0410a28c,209,1,32.07,2,1,1,4,At Risk
0418a2c1,236,1,98.36,2,1,1,4,At Risk
041ccaac,190,1,457.3,2,1,4,7,Potential Loyalists
042ebd5a,234,1,231.85,2,1,3,6,Potential Loyalists
042f7bf4,127,1,344.15,3,1,4,8,Loyal Customers
04318409,297,1,231.58,1,1,3,5,At Risk
0439fca1,49,1,435.06,4,1,4,9,Loyal Customers
044aec61,237,1,72.51,2,1,1,4,At Risk
04549848,211,1,398.86,2,1,4,7,Potential Loyalists
04638a95,108,1,147.68,3,1,2,6,Potential Loyalists
047526b7,3,1,286.08,4,1,3,8,Loyal Customers
049740b6,114,1,90.39,3,1,1,5,At Risk
04b3b0ae,314,1,82.19,1,1,1,3,Lost Customers
04bcfff8,19,1,16.99,4,1,1,6,Potential Loyalists
04c82cbe,220,1,436.53,2,1,4,7,Potential Loyalists
04cdb11d,80,1,269.19,4,1,3,8,Loyal Customers
04d6d800,22,1,424.58,4,1,4,9,Loyal Customers
04ef2f48,318,1,172.45,1,1,2,4,At Risk
051133f8,36,1,323.53,4,1,4,9,Loyal Customers
0511d865,306,1,59.19,1,1,1,3,Lost Customers
0513a984,141,1,299.77,3,1,3,7,Potential Loyalists
053df1ac,107,1,427.38,3,1,4,8,Loyal Customers
054dbda0,54,1,213.91,4,1,3,8,Loyal Customers
05619162,289,1,196.69,1,1,2,4,At Risk
0580edce,47,1,369.33,4,1,4,9,Loyal Customers
0593db79,138,1,368.63,3,1,4,8,Loyal Customers
0599c907,229,1,336.97,2,1,4,7,Potential Loyalists
059a7bab,92,1,405.86,3,1,4,8,Loyal Customers
05b592f1,16,1,169.63,4,1,2,7,Potential Loyalists
05c5eef6,248,1,306.36,1,1,4,6,Potential Loyalists
05c75f8e,299,1,178.45,1,1,2,4,At Risk
05ddf6b9,164,1,211.34,2,1,3,6,Potential Loyalists
05e6557c,97,1,487.06,3,1,4,8,Loyal Customers
060cf692,246,1,45.47,1,1,1,3,Lost Customers
0611293d,185,1,313.36,2,1,4,7,Potential Loyalists
0639e3bd,220,1,335.93,2,1,4,7,Potential Loyalists
06451796,63,1,28.43,4,1,1,6,Potential Loyalists
0645a3b4,309,1,339.32,1,1,4,6,Potential Loyalists
064a90e8,85,1,361.39,3,1,4,8,Loyal Customers
065012c5,283,1,258.92,1,1,3,5,At Risk
06539e8b,35,1,393.25,4,1,4,9,Loyal Customers
065534e3,149,1,279.68,3,1,3,7,Potential Loyalists
066a0e2f,19,1,333.58,4,1,4,9,Loyal Customers
066dce62,128,1,20.94,3,1,1,5,At Risk
069d9e68,183,1,384.2,2,1,4,7,Potential Loyalists
06c01585,6,1,342.24,4,1,4,9,Loyal Customers
06c442e0,278,1,150.05,1,1,2,4,At Risk
06d390ac,218,1,349.59,2,1,4,7,Potential Loyalists
0741d501,25,1,71.08,4,1,1,6,Potential Loyalists
074c931e,88,1,48.48,3,1,1,5,At Risk
0750df4a,180,1,182.87,2,1,2,5,At Risk
075fc126,55,1,93.94,4,1,1,6,Potential Loyalists
076f21ca,321,1,42.85,1,1,1,3,Lost Customers
077651c7,222,1,216.23,2,1,3,6,Potential Loyalists
078124d1,192,1,314.67,2,1,4,7,Potential Loyalists
078fcf7a,76,1,232.22,4,1,3,8,Loyal Customers
07bba05f,44,1,327.74,4,1,4,9,Loyal Customers
07d9828a,154,1,288.05,3,1,3,7,Potential Loyalists
07da90ff,4,1,102.55,4,1,1,6,Potential Loyalists
07e93a67,323,1,136.1,1,1,2,4,At Risk
07fd6558,214,1,76.12,2,1,1,4,At Risk
080f21f4,198,1,83.3,2,1,1,4,At Risk
084b0e23,172,1,71.39,2,1,1,4,At Risk
084d1679,208,1,155.33,2,1,2,5,At Risk
08602a9c,93,1,84.0,3,1,1,5,At Risk
0888b113,267,1,52.27,1,1,1,3,Lost Customers
088e7c77,46,1,266.1,4,1,3,8,Loyal Customers
08a65189,17,1,315.45,4,1,4,9,Loyal Customers
08a6752d,156,1,24.64,3,1,1,5,At Risk
08b2f5ea,76,1,296.17,4,1,3,8,Loyal Customers
08d32336,250,1,39.31,1,1,1,3,Lost Customers
08f509e7,32,1,170.23,4,1,2,7,Potential Loyalists
09082595,275,1,470.7,1,1,4,6,Potential Loyalists
092a5a44,130,1,168.56,3,1,2,6,Potential Loyalists
094b4804,19,1,383.07,4,1,4,9,Loyal Customers
09525f3e,173,1,125.04,2,1,2,5,At Risk
095bcc91,55,1,210.85,4,1,3,8,Loyal Customers
09642f7b,183,1,215.81,2,1,3,6,Potential Loyalists
097e0691,227,1,48.26,2,1,1,4,At Risk
097f2ccb,325,1,363.14,1,1,4,6,Potential Loyalists
09b07954,322,1,300.3,1,1,3,5,At Risk
09b8e30c,253,1,71.25,1,1,1,3,Lost Customers
09c475c9,243,1,196.97,2,1,2,5,At Risk
09ca67b7,122,1,217.87,3,1,3,7,Potential Loyalists
09e59ae1,280,1,169.52,1,1,2,4,At Risk
09ea71de,23,1,69.37,4,1,1,6,Potential Loyalists
09ed6fb4,184,1,138.46,2,1,2,5,At Risk
0a017e5a,131,1,247.75,3,1,3,7,Potential Loyalists
0a1152f5,323,1,86.42,1,1,1,3,Lost Customers
0a1247ac,135,1,418.41,3,1,4,8,Loyal Customers
0a3a6c62,159,1,240.92,3,1,3,7,Potential Loyalists
0a3b0205,241,1,11.6,2,1,1,4,At Risk
0a3ca68a,149,1,215.12,3,1,3,7,Potential Loyalists
0a6712c8,251,1,322.12,1,1,4,6,Potential Loyalists
0a75e9da,151,1,96.67,3,1,1,5,At Risk
0a8206f2,56,1,217.03,4,1,3,8,Loyal Customers
0a89bdec,269,1,63.27,1,1,1,3,Lost Customers
0aa5caf4,219,1,46.11,2,1,1,4,At Risk
0ac5e876,1,1,362.61,4,1,4,9,Loyal Customers
0ad19220,80,1,99.89,4,1,1,6,Potential Loyalists
0ae7336e,111,1,441.69,3,1,4,8,Loyal Customers
0b010741,72,1,39.86,4,1,1,6,Potential Loyalists
0b18eb06,255,1,161.14,1,1,2,4,At Risk
0b204db3,145,1,414.76,3,1,4,8,Loyal Customers
0b32dc6f,172,1,315.55,2,1,4,7,Potential Loyalists
0b37db24,131,1,139.14,3,1,2,6,Potential Loyalists
0b385dfa,123,1,222.36,3,1,3,7,Potential Loyalists
0b3c2c9f,164,1,173.95,2,1,2,5,At Risk
0b44393a,286,1,187.12,1,1,2,4,At Risk
0b4f24e1,185,1,11.52,2,1,1,4,At Risk
0b8bde5a,98,1,328.44,3,1,4,8,Loyal Customers
0bade6a5,283,1,99.17,1,1,1,3,Lost Customers
0bae38c2,90,1,135.6,3,1,2,6,Potential Loyalists
